Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,Can you explain inflation in simple terms?,379,4.442,0.0322
llama3:8b,Can you explain inflation in simple terms?,365,4.373,0.0337
llama3:8b,What are some fun icebreaker questions for team meetings?,406,4.369,0.0339
llama3:8b,Can you explain inflation in simple terms?,408,4.448,0.0335
llama3:8b,Can you explain inflation in simple terms?,446,4.439,0.0322
llama3:8b,How do I write a professional follow-up email after a job in...,449,4.367,0.0322
llama3:8b,How do I negotiate my salary during a job offer?,501,4.368,0.0322
llama3:8b,Can you summarize the key points of the book Atomic Habits?,517,4.435,0.0322
llama3:8b,How do I negotiate my salary during a job offer?,549,4.436,0.0321
llama3:8b,What are some tips to stay focused while studying?,524,4.447,0.0337
llama3:8b,How do I negotiate my salary during a job offer?,550,4.439,0.0323
llama3:8b,How can I start a simple workout routine at home with no equ...,575,4.370,0.0324
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,310,16.689,0.0338
llama3:8b,What are some fun icebreaker questions for team meetings?,402,18.848,0.0326
llama3:8b,What's the difference between anxiety and stress?,452,18.220,0.0338
llama3:8b,How do I write a professional follow-up email after a job in...,529,16.723,0.0336
llama3:8b,How do I write a professional follow-up email after a job in...,505,18.894,0.0336
llama3:8b,How do I write a professional follow-up email after a job in...,476,20.534,0.0327
llama3:8b,What are some tips to stay focused while studying?,467,21.147,0.0327
llama3:8b,What are some fun icebreaker questions for team meetings?,472,22.175,0.0338
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,490,22.181,0.0328
llama3:8b,What are some tips to stay focused while studying?,463,23.046,0.0338
llama3:8b,Can you explain inflation in simple terms?,486,22.272,0.0337
llama3:8b,How can I start a simple workout routine at home with no equ...,661,18.392,0.0334
llama3:8b,Can you summarize the key points of the book Atomic Habits?,468,27.225,0.0335
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,335,36.568,0.0323
llama3:8b,What are some tips to stay focused while studying?,501,32.011,0.0325
llama3:8b,What's the difference between anxiety and stress?,452,33.563,0.0335
llama3:8b,Can you explain inflation in simple terms?,390,35.928,0.0332
llama3:8b,What's the difference between anxiety and stress?,433,38.744,0.0333
llama3:8b,What are some tips to stay focused while studying?,485,38.184,0.0332
llama3:8b,Can you summarize the key points of the book Atomic Habits?,498,38.287,0.0323
llama3:8b,How can I start a simple workout routine at home with no equ...,621,34.548,0.0334
llama3:8b,Can you summarize the key points of the book Atomic Habits?,506,38.742,0.0335
llama3:8b,Can you explain inflation in simple terms?,479,40.576,0.0329
llama3:8b,Can you explain inflation in simple terms?,283,48.956,0.0341
llama3:8b,How can I start a simple workout routine at home with no equ...,736,36.154,0.0324
llama3:8b,What's the difference between anxiety and stress?,481,47.481,0.0325
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,652,42.997,0.0326
llama3:8b,Can you summarize the key points of the book Atomic Habits?,611,48.756,0.0324
llama3:8b,Can you explain inflation in simple terms?,449,54.385,0.0322
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,684,48.358,0.0326
llama3:8b,How do I negotiate my salary during a job offer?,498,55.438,0.0338
llama3:8b,How do I negotiate my salary during a job offer?,549,54.415,0.0327
llama3:8b,What's the difference between anxiety and stress?,427,58.612,0.0339
llama3:8b,What are some tips to stay focused while studying?,531,56.487,0.0326
llama3:8b,Can you summarize the key points of the book Atomic Habits?,453,60.158,0.0324
