Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,Can you explain inflation in simple terms?,490,4.518,0.0309
llama3:8b,Can you explain inflation in simple terms?,504,4.468,0.0307
llama3:8b,How do I write a professional follow-up email after a job in...,513,4.500,0.0310
llama3:8b,How can I start a simple workout routine at home with no equ...,513,4.519,0.0321
llama3:8b,Can you summarize the key points of the book Atomic Habits?,550,4.512,0.0308
llama3:8b,What are some tips to stay focused while studying?,575,4.460,0.0321
llama3:8b,Can you summarize the key points of the book Atomic Habits?,648,4.464,0.0314
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,706,4.515,0.0323
llama3:8b,How do I write a professional follow-up email after a job in...,409,17.997,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,495,16.199,0.0318
llama3:8b,How do I negotiate my salary during a job offer?,550,14.468,0.0325
llama3:8b,What are some fun icebreaker questions for team meetings?,440,18.903,0.0316
llama3:8b,What's the difference between anxiety and stress?,426,20.486,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,526,20.005,0.0319
llama3:8b,How can I start a simple workout routine at home with no equ...,558,21.037,0.0331
llama3:8b,How can I start a simple workout routine at home with no equ...,574,23.015,0.0331
llama3:8b,How can I start a simple workout routine at home with no equ...,651,21.478,0.0317
llama3:8b,Can you summarize the key points of the book Atomic Habits?,542,24.862,0.0328
llama3:8b,Can you summarize the key points of the book Atomic Habits?,478,27.401,0.0331
llama3:8b,Can you summarize the key points of the book Atomic Habits?,727,19.815,0.0327
llama3:8b,How can I start a simple workout routine at home with no equ...,511,31.935,0.0316
llama3:8b,Can you summarize the key points of the book Atomic Habits?,506,31.548,0.0328
llama3:8b,What's the difference between anxiety and stress?,486,32.433,0.0332
llama3:8b,Can you summarize the key points of the book Atomic Habits?,562,32.972,0.0315
llama3:8b,How can I start a simple workout routine at home with no equ...,531,34.668,0.0330
llama3:8b,Can you explain inflation in simple terms?,333,42.185,0.0321
llama3:8b,What are some fun icebreaker questions for team meetings?,445,39.632,0.0330
llama3:8b,Can you summarize the key points of the book Atomic Habits?,564,36.848,0.0318
llama3:8b,What's the difference between anxiety and stress?,472,42.095,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,509,42.687,0.0337
