Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,How do I write a professional follow-up email after a job in...,489,172.901,0.0330
llama3:8b,Can you explain inflation in simple terms?,444,171.985,0.0322
llama3:8b,What are some fun icebreaker questions for team meetings?,361,177.853,0.0327
llama3:8b,How do I negotiate my salary during a job offer?,534,171.104,0.0321
llama3:8b,How do I negotiate my salary during a job offer?,524,171.407,0.0324
llama3:8b,How can I start a simple workout routine at home with no equ...,555,174.498,0.0330
llama3:8b,Can you explain inflation in simple terms?,441,177.437,0.0321
llama3:8b,Can you explain inflation in simple terms?,526,176.180,0.0323
llama3:8b,How do I negotiate my salary during a job offer?,583,177.228,0.0322
llama3:8b,Can you explain inflation in simple terms?,454,183.681,0.0323
llama3:8b,What's the difference between anxiety and stress?,448,183.734,0.0321
llama3:8b,Can you summarize the key points of the book Atomic Habits?,516,187.258,0.0330
llama3:8b,What are some fun icebreaker questions for team meetings?,448,188.722,0.0331
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,307,190.632,0.0323
llama3:8b,How can I start a simple workout routine at home with no equ...,494,187.460,0.0323
llama3:8b,How do I negotiate my salary during a job offer?,600,186.308,0.0320
llama3:8b,How do I negotiate my salary during a job offer?,592,188.144,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,582,189.863,0.0330
llama3:8b,What are some tips to stay focused while studying?,483,192.218,0.0325
llama3:8b,How do I negotiate my salary during a job offer?,468,195.072,0.0319
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,737,187.310,0.0321
llama3:8b,What are some fun icebreaker questions for team meetings?,393,197.191,0.0326
llama3:8b,Can you explain inflation in simple terms?,452,197.370,0.0320
llama3:8b,How can I start a simple workout routine at home with no equ...,464,202.584,0.0324
llama3:8b,What are some fun icebreaker questions for team meetings?,498,202.383,0.0324
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,441,203.498,0.0328
llama3:8b,What's the difference between anxiety and stress?,546,200.569,0.0328
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,337,206.999,0.0328
llama3:8b,What are some tips to stay focused while studying?,492,203.607,0.0322
llama3:8b,Can you summarize the key points of the book Atomic Habits?,525,204.803,0.0322
llama3:8b,What are some tips to stay focused while studying?,475,209.039,0.0331
llama3:8b,Can you summarize the key points of the book Atomic Habits?,522,209.095,0.0322
llama3:8b,Can you summarize the key points of the book Atomic Habits?,561,208.996,0.0321
llama3:8b,How can I start a simple workout routine at home with no equ...,479,216.762,0.0323
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,750,208.125,0.0325
llama3:8b,What are some tips to stay focused while studying?,460,216.627,0.0325
llama3:8b,What are some fun icebreaker questions for team meetings?,491,217.059,0.0330
llama3:8b,What are some fun icebreaker questions for team meetings?,419,220.813,0.0327
llama3:8b,Can you summarize the key points of the book Atomic Habits?,495,217.523,0.0329
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,784,209.939,0.0321
llama3:8b,Can you summarize the key points of the book Atomic Habits?,596,218.154,0.0330
llama3:8b,What are some fun icebreaker questions for team meetings?,441,223.993,0.0327
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,420,226.077,0.0327
llama3:8b,How do I write a professional follow-up email after a job in...,532,223.803,0.0328
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,750,217.485,0.0326
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,334,232.638,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,300,235.852,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,540,230.673,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,473,232.349,0.0328
llama3:8b,How do I negotiate my salary during a job offer?,576,230.310,0.0333
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,587,230.495,0.0332
llama3:8b,Can you explain inflation in simple terms?,390,237.414,0.0318
llama3:8b,Can you explain inflation in simple terms?,383,238.866,0.0317
llama3:8b,How do I write a professional follow-up email after a job in...,600,233.207,0.0321
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,383,240.074,0.0315
llama3:8b,How can I start a simple workout routine at home with no equ...,695,232.897,0.0326
llama3:8b,Can you summarize the key points of the book Atomic Habits?,613,240.329,0.0325
llama3:8b,What are some fun icebreaker questions for team meetings?,453,245.783,0.0324
llama3:8b,Can you explain inflation in simple terms?,420,248.518,0.0324
llama3:8b,Can you explain inflation in simple terms?,441,246.948,0.0324
llama3:8b,How can I start a simple workout routine at home with no equ...,635,243.811,0.0326
llama3:8b,Can you explain inflation in simple terms?,522,248.041,0.0324
llama3:8b,What's the difference between anxiety and stress?,454,250.069,0.0327
llama3:8b,How do I negotiate my salary during a job offer?,609,248.987,0.0325
llama3:8b,How do I write a professional follow-up email after a job in...,522,251.149,0.0327
llama3:8b,How do I negotiate my salary during a job offer?,499,253.705,0.0328
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,766,247.692,0.0327
llama3:8b,How can I start a simple workout routine at home with no equ...,640,250.593,0.0326
llama3:8b,How do I write a professional follow-up email after a job in...,482,259.321,0.0329
llama3:8b,What are some tips to stay focused while studying?,502,261.177,0.0332
llama3:8b,What are some tips to stay focused while studying?,507,259.343,0.0329
llama3:8b,What are some tips to stay focused while studying?,537,259.563,0.0330
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,295,270.781,0.0337
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,462,267.893,0.0323
llama3:8b,How can I start a simple workout routine at home with no equ...,590,263.961,0.0323
llama3:8b,What's the difference between anxiety and stress?,438,269.107,0.0331
llama3:8b,Can you explain inflation in simple terms?,225,275.125,0.0333
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,670,263.608,0.0334
llama3:8b,How do I negotiate my salary during a job offer?,476,270.554,0.0321
llama3:8b,Can you summarize the key points of the book Atomic Habits?,655,267.285,0.0322
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,301,280.819,0.0338
llama3:8b,How can I start a simple workout routine at home with no equ...,802,264.016,0.0337
llama3:8b,What are some fun icebreaker questions for team meetings?,453,274.315,0.0330
llama3:8b,What are some tips to stay focused while studying?,533,273.241,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,517,276.903,0.0338
llama3:8b,Can you explain inflation in simple terms?,389,281.679,0.0328
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,474,281.819,0.0324
llama3:8b,What are some fun icebreaker questions for team meetings?,421,284.154,0.0338
llama3:8b,What are some fun icebreaker questions for team meetings?,382,284.884,0.0326
llama3:8b,What are some tips to stay focused while studying?,559,281.620,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,306,290.071,0.0416
llama3:8b,What's the difference between anxiety and stress?,306,290.060,0.0416
llama3:8b,Can you summarize the key points of the book Atomic Habits?,207,293.454,0.0453
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,30,299.399,0.1141
llama3:8b,What are some fun icebreaker questions for team meetings?,30,299.390,0.1143
llama3:8b,What are some tips to stay focused while studying?,30,299.398,0.1152
llama3:8b,Can you summarize the key points of the book Atomic Habits?,596,281.099,0.0365
llama3:8b,What are some tips to stay focused while studying?,31,299.443,0.1102
llama3:8b,How do I negotiate my salary during a job offer?,32,299.445,0.1072
llama3:8b,What's the difference between anxiety and stress?,30,299.476,0.1137
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,336,289.390,0.0402
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,31,299.478,0.1105
llama3:8b,What are some fun icebreaker questions for team meetings?,13,299.824,0.2183
llama3:8b,Can you summarize the key points of the book Atomic Habits?,29,299.490,0.1140
llama3:8b,Can you explain inflation in simple terms?,29,299.490,0.1158
llama3:8b,How do I negotiate my salary during a job offer?,29,299.487,0.1160
llama3:8b,Can you explain inflation in simple terms?,14,300.014,0.2029
llama3:8b,How do I negotiate my salary during a job offer?,209,293.523,0.0446
llama3:8b,Can you summarize the key points of the book Atomic Habits?,350,289.000,0.0396
llama3:8b,Can you summarize the key points of the book Atomic Habits?,431,286.453,0.0381
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,42,299.002,0.0919
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,27,299.539,0.1228
llama3:8b,How do I write a professional follow-up email after a job in...,30,299.446,0.1137
llama3:8b,Can you explain inflation in simple terms?,58,298.487,0.0752
llama3:8b,What are some fun icebreaker questions for team meetings?,26,299.541,0.1275
llama3:8b,Can you explain inflation in simple terms?,26,299.539,0.1275
llama3:8b,What are some tips to stay focused while studying?,31,299.536,0.1088
llama3:8b,Can you summarize the key points of the book Atomic Habits?,23,299.578,0.1388
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,218,293.289,0.0435
llama3:8b,How do I negotiate my salary during a job offer?,60,298.531,0.0708
llama3:8b,What's the difference between anxiety and stress?,56,298.567,0.0754
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,31,299.430,0.1113
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,190,294.343,0.0450
