Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,How do I negotiate my salary during a job offer?,516,126.546,0.0329
llama3:8b,What's the difference between anxiety and stress?,514,123.494,0.0325
llama3:8b,What are some fun icebreaker questions for team meetings?,534,126.840,0.0328
llama3:8b,How do I write a professional follow-up email after a job in...,403,133.824,0.0325
llama3:8b,What are some fun icebreaker questions for team meetings?,457,135.393,0.0337
llama3:8b,How can I start a simple workout routine at home with no equ...,580,134.679,0.0331
llama3:8b,How do I write a professional follow-up email after a job in...,485,134.696,0.0320
llama3:8b,What's the difference between anxiety and stress?,385,138.020,0.0317
llama3:8b,What are some fun icebreaker questions for team meetings?,366,141.633,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,584,133.212,0.0337
llama3:8b,How do I write a professional follow-up email after a job in...,537,136.825,0.0335
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,388,145.689,0.0330
llama3:8b,Can you summarize the key points of the book Atomic Habits?,520,139.274,0.0319
llama3:8b,Can you summarize the key points of the book Atomic Habits?,498,144.449,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,526,143.469,0.0331
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,306,152.841,0.0331
llama3:8b,How do I write a professional follow-up email after a job in...,537,146.928,0.0320
llama3:8b,Can you explain inflation in simple terms?,395,153.852,0.0324
llama3:8b,How do I write a professional follow-up email after a job in...,535,149.893,0.0326
llama3:8b,Can you explain inflation in simple terms?,368,157.546,0.0328
llama3:8b,Can you summarize the key points of the book Atomic Habits?,514,149.289,0.0323
llama3:8b,What are some tips to stay focused while studying?,555,151.936,0.0325
llama3:8b,What are some tips to stay focused while studying?,543,154.917,0.0327
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,716,149.295,0.0326
llama3:8b,What's the difference between anxiety and stress?,391,164.754,0.0323
llama3:8b,What are some tips to stay focused while studying?,575,159.937,0.0324
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,349,164.981,0.0334
llama3:8b,What's the difference between anxiety and stress?,506,165.448,0.0325
llama3:8b,Can you explain inflation in simple terms?,512,167.668,0.0336
llama3:8b,How do I negotiate my salary during a job offer?,510,168.024,0.0327
llama3:8b,Can you explain inflation in simple terms?,444,170.731,0.0329
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,338,175.463,0.0328
llama3:8b,How do I negotiate my salary during a job offer?,501,173.175,0.0334
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,369,174.730,0.0326
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,409,177.289,0.0331
llama3:8b,What's the difference between anxiety and stress?,504,170.725,0.0330
llama3:8b,What's the difference between anxiety and stress?,499,175.702,0.0326
llama3:8b,What are some tips to stay focused while studying?,528,176.675,0.0326
llama3:8b,Can you summarize the key points of the book Atomic Habits?,485,182.153,0.0327
llama3:8b,Can you explain inflation in simple terms?,384,183.736,0.0323
llama3:8b,Can you summarize the key points of the book Atomic Habits?,518,180.994,0.0324
llama3:8b,How do I write a professional follow-up email after a job in...,419,186.624,0.0322
llama3:8b,What's the difference between anxiety and stress?,423,185.825,0.0327
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,334,193.933,0.0328
llama3:8b,How do I write a professional follow-up email after a job in...,551,187.981,0.0327
llama3:8b,Can you explain inflation in simple terms?,498,188.921,0.0349
llama3:8b,Can you summarize the key points of the book Atomic Habits?,520,186.443,0.0326
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,774,185.439,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,600,191.053,0.0328
llama3:8b,What's the difference between anxiety and stress?,462,196.873,0.0322
llama3:8b,What are some fun icebreaker questions for team meetings?,436,200.858,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,594,195.170,0.0323
llama3:8b,What are some tips to stay focused while studying?,491,198.167,0.0323
llama3:8b,How do I negotiate my salary during a job offer?,614,197.131,0.0324
llama3:8b,How do I write a professional follow-up email after a job in...,490,205.397,0.0324
llama3:8b,How can I start a simple workout routine at home with no equ...,603,199.725,0.0331
llama3:8b,What are some tips to stay focused while studying?,562,205.230,0.0326
llama3:8b,How do I write a professional follow-up email after a job in...,583,202.934,0.0323
llama3:8b,What's the difference between anxiety and stress?,383,209.770,0.0329
llama3:8b,Can you explain inflation in simple terms?,416,214.039,0.0335
llama3:8b,How do I write a professional follow-up email after a job in...,472,210.833,0.0328
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,383,213.069,0.0327
llama3:8b,Can you summarize the key points of the book Atomic Habits?,578,208.903,0.0329
llama3:8b,What's the difference between anxiety and stress?,439,215.226,0.0334
llama3:8b,How do I write a professional follow-up email after a job in...,518,212.409,0.0326
llama3:8b,Can you summarize the key points of the book Atomic Habits?,481,218.728,0.0326
llama3:8b,What's the difference between anxiety and stress?,542,220.793,0.0318
llama3:8b,How can I start a simple workout routine at home with no equ...,622,222.579,0.0332
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,741,218.024,0.0329
llama3:8b,What's the difference between anxiety and stress?,471,226.989,0.0332
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,606,224.648,0.0315
llama3:8b,What are some fun icebreaker questions for team meetings?,475,230.520,0.0328
llama3:8b,What's the difference between anxiety and stress?,532,226.343,0.0315
llama3:8b,How do I negotiate my salary during a job offer?,569,228.998,0.0328
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,754,224.356,0.0319
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,741,226.023,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,465,237.798,0.0338
llama3:8b,How can I start a simple workout routine at home with no equ...,620,233.498,0.0336
llama3:8b,How do I negotiate my salary during a job offer?,454,241.231,0.0328
llama3:8b,What are some fun icebreaker questions for team meetings?,535,242.824,0.0333
llama3:8b,How can I start a simple workout routine at home with no equ...,616,241.202,0.0337
llama3:8b,Can you summarize the key points of the book Atomic Habits?,576,240.876,0.0328
llama3:8b,What are some fun icebreaker questions for team meetings?,446,248.499,0.0340
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,676,241.488,0.0335
llama3:8b,What's the difference between anxiety and stress?,488,244.415,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,414,252.639,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,662,245.777,0.0338
llama3:8b,Can you explain inflation in simple terms?,466,253.388,0.0333
llama3:8b,Can you summarize the key points of the book Atomic Habits?,597,248.369,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,824,245.256,0.0337
llama3:8b,What's the difference between anxiety and stress?,387,259.981,0.0336
llama3:8b,Can you explain inflation in simple terms?,471,259.735,0.0332
llama3:8b,How do I negotiate my salary during a job offer?,518,257.838,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,481,262.787,0.0338
llama3:8b,How do I negotiate my salary during a job offer?,494,263.197,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,370,267.320,0.0337
llama3:8b,What are some tips to stay focused while studying?,545,259.635,0.0327
llama3:8b,How can I start a simple workout routine at home with no equ...,425,267.910,0.0325
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,634,266.358,0.0325
llama3:8b,How do I write a professional follow-up email after a job in...,457,273.072,0.0327
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,570,266.009,0.0327
llama3:8b,Can you summarize the key points of the book Atomic Habits?,581,272.115,0.0328
llama3:8b,Can you explain inflation in simple terms?,449,278.567,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,440,274.964,0.0325
llama3:8b,Can you summarize the key points of the book Atomic Habits?,579,278.042,0.0323
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,638,273.892,0.0325
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,532,281.721,0.0335
llama3:8b,How do I write a professional follow-up email after a job in...,589,275.555,0.0324
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,405,287.113,0.0387
llama3:8b,What are some tips to stay focused while studying?,310,290.245,0.0406
llama3:8b,How do I write a professional follow-up email after a job in...,265,291.520,0.0421
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,139,295.752,0.0507
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,467,284.587,0.0390
llama3:8b,What are some tips to stay focused while studying?,453,285.053,0.0392
llama3:8b,What are some fun icebreaker questions for team meetings?,29,299.391,0.1180
llama3:8b,What are some fun icebreaker questions for team meetings?,234,292.454,0.0443
llama3:8b,What are some tips to stay focused while studying?,7,300.128,0.3874
llama3:8b,How can I start a simple workout routine at home with no equ...,27,299.467,0.1344
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,28,299.424,0.1218
llama3:8b,How do I write a professional follow-up email after a job in...,84,297.573,0.0627
llama3:8b,Can you explain inflation in simple terms?,30,299.436,0.1142
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,29,299.435,0.1186
llama3:8b,Can you explain inflation in simple terms?,29,299.478,0.1179
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,30,299.478,0.1139
llama3:8b,How can I start a simple workout routine at home with no equ...,27,299.617,0.1215
llama3:8b,What are some tips to stay focused while studying?,56,298.524,0.0771
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,27,299.481,0.1245
llama3:8b,What are some tips to stay focused while studying?,30,299.472,0.1122
llama3:8b,How can I start a simple workout routine at home with no equ...,30,299.476,0.1121
llama3:8b,How do I write a professional follow-up email after a job in...,28,299.480,0.1201
llama3:8b,How do I write a professional follow-up email after a job in...,27,299.481,0.1246
llama3:8b,How can I start a simple workout routine at home with no equ...,30,299.478,0.1126
llama3:8b,Can you summarize the key points of the book Atomic Habits?,28,299.526,0.1191
llama3:8b,How can I start a simple workout routine at home with no equ...,29,299.521,0.1152
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,59,298.545,0.0733
llama3:8b,What are some tips to stay focused while studying?,30,299.522,0.1120
llama3:8b,How do I write a professional follow-up email after a job in...,31,299.523,0.1085
llama3:8b,What's the difference between anxiety and stress?,28,299.523,0.1201
llama3:8b,Can you summarize the key points of the book Atomic Habits?,1,300.396,2.5077
llama3:8b,How can I start a simple workout routine at home with no equ...,515,283.723,0.0373
llama3:8b,How can I start a simple workout routine at home with no equ...,344,289.331,0.0395
llama3:8b,What are some tips to stay focused while studying?,60,298.542,0.0729
llama3:8b,What's the difference between anxiety and stress?,29,299.576,0.1152
llama3:8b,What are some tips to stay focused while studying?,29,299.471,0.1186
llama3:8b,What are some fun icebreaker questions for team meetings?,26,299.481,0.1266
llama3:8b,How can I start a simple workout routine at home with no equ...,204,293.748,0.0443
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,27,299.483,0.1230
llama3:8b,How do I negotiate my salary during a job offer?,27,299.469,0.1233
llama3:8b,How do I write a professional follow-up email after a job in...,57,298.472,0.0760
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,24,299.619,0.1326
llama3:8b,What's the difference between anxiety and stress?,57,298.475,0.0760
llama3:8b,How do I write a professional follow-up email after a job in...,46,298.765,0.0866
llama3:8b,What's the difference between anxiety and stress?,44,298.805,0.0879
llama3:8b,What's the difference between anxiety and stress?,26,299.531,0.1261
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,56,298.501,0.0769
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,31,299.359,0.1116
llama3:8b,Can you explain inflation in simple terms?,31,299.357,0.1116
llama3:8b,How do I write a professional follow-up email after a job in...,52,298.663,0.0798
llama3:8b,How do I negotiate my salary during a job offer?,21,299.673,0.1498
llama3:8b,What are some tips to stay focused while studying?,30,299.413,0.1135
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,3,300.381,0.8732
llama3:8b,How can I start a simple workout routine at home with no equ...,9,299.918,0.3052
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,55,298.666,0.0762
llama3:8b,What are some tips to stay focused while studying?,30,299.372,0.1159
llama3:8b,How do I negotiate my salary during a job offer?,23,299.598,0.1418
llama3:8b,Can you explain inflation in simple terms?,39,299.093,0.0965
llama3:8b,What's the difference between anxiety and stress?,20,299.717,0.1570
llama3:8b,How do I write a professional follow-up email after a job in...,30,299.375,0.1159
llama3:8b,What are some fun icebreaker questions for team meetings?,30,299.400,0.1152
llama3:8b,What are some tips to stay focused while studying?,30,299.403,0.1152
llama3:8b,What's the difference between anxiety and stress?,73,298.051,0.0648
llama3:8b,What's the difference between anxiety and stress?,29,299.426,0.1159
llama3:8b,How do I write a professional follow-up email after a job in...,64,298.383,0.0689
llama3:8b,What are some tips to stay focused while studying?,27,299.462,0.1237
llama3:8b,What's the difference between anxiety and stress?,31,299.422,0.1091
llama3:8b,What are some tips to stay focused while studying?,63,298.426,0.0710
llama3:8b,Can you explain inflation in simple terms?,26,299.552,0.1288
llama3:8b,Can you explain inflation in simple terms?,6,299.994,0.4497
llama3:8b,How do I negotiate my salary during a job offer?,30,299.397,0.1125
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,30,299.361,0.1138
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,61,298.430,0.0714
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,28,299.474,0.1189
llama3:8b,How can I start a simple workout routine at home with no equ...,61,298.426,0.0717
llama3:8b,Can you explain inflation in simple terms?,28,299.477,0.1192
llama3:8b,What are some fun icebreaker questions for team meetings?,58,298.552,0.0735
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,2,300.327,1.2463
llama3:8b,What's the difference between anxiety and stress?,30,299.471,0.1118
llama3:8b,What's the difference between anxiety and stress?,29,299.401,0.1162
llama3:8b,What are some fun icebreaker questions for team meetings?,60,298.481,0.0719
llama3:8b,How can I start a simple workout routine at home with no equ...,54,298.655,0.0766
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,30,299.388,0.1138
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,30,299.395,0.1137
llama3:8b,How do I negotiate my salary during a job offer?,1,300.423,2.5729
llama3:8b,What are some tips to stay focused while studying?,20,299.590,0.1547
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,61,298.400,0.0717
llama3:8b,Can you explain inflation in simple terms?,62,298.409,0.0706
llama3:8b,Can you summarize the key points of the book Atomic Habits?,27,299.561,0.1204
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,32,299.373,0.1075
llama3:8b,What's the difference between anxiety and stress?,32,299.377,0.1075
llama3:8b,What are some tips to stay focused while studying?,28,299.566,0.1161
llama3:8b,How do I negotiate my salary during a job offer?,63,298.366,0.0707
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,26,299.566,0.1252
llama3:8b,Can you explain inflation in simple terms?,63,298.368,0.0707
llama3:8b,What's the difference between anxiety and stress?,7,300.158,0.3834
llama3:8b,What's the difference between anxiety and stress?,95,297.366,0.0575
llama3:8b,What's the difference between anxiety and stress?,33,299.432,0.1031
llama3:8b,What are some fun icebreaker questions for team meetings?,33,299.429,0.1032
llama3:8b,What are some tips to stay focused while studying?,27,299.604,0.1200
llama3:8b,How do I write a professional follow-up email after a job in...,30,299.482,0.1126
llama3:8b,What are some fun icebreaker questions for team meetings?,29,299.459,0.1178
llama3:8b,How can I start a simple workout routine at home with no equ...,30,299.453,0.1141
llama3:8b,What's the difference between anxiety and stress?,31,299.467,0.1092
llama3:8b,What's the difference between anxiety and stress?,30,299.466,0.1133
llama3:8b,Can you explain inflation in simple terms?,30,299.463,0.1137
llama3:8b,What's the difference between anxiety and stress?,65,298.431,0.0687
llama3:8b,What are some fun icebreaker questions for team meetings?,29,299.498,0.1172
llama3:8b,How do I negotiate my salary during a job offer?,65,298.438,0.0687
llama3:8b,What are some tips to stay focused while studying?,29,299.502,0.1172
llama3:8b,How can I start a simple workout routine at home with no equ...,33,299.465,0.1043
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,65,298.434,0.0689
llama3:8b,Can you summarize the key points of the book Atomic Habits?,57,298.541,0.0756
llama3:8b,How can I start a simple workout routine at home with no equ...,61,298.478,0.0719
llama3:8b,How do I negotiate my salary during a job offer?,30,299.509,0.1121
llama3:8b,How do I negotiate my salary during a job offer?,61,298.542,0.0710
llama3:8b,What are some tips to stay focused while studying?,31,299.503,0.1085
llama3:8b,Can you explain inflation in simple terms?,24,299.697,0.1330
llama3:8b,What are some fun icebreaker questions for team meetings?,41,299.509,0.0905
llama3:8b,How can I start a simple workout routine at home with no equ...,56,298.513,0.0759
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,31,299.425,0.1117
llama3:8b,What's the difference between anxiety and stress?,58,298.562,0.0749
llama3:8b,Can you explain inflation in simple terms?,25,299.614,0.1316
llama3:8b,How can I start a simple workout routine at home with no equ...,58,298.585,0.0746
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,32,299.396,0.1098
llama3:8b,Can you explain inflation in simple terms?,30,299.556,0.1117
llama3:8b,How do I negotiate my salary during a job offer?,31,299.558,0.1082
llama3:8b,How do I negotiate my salary during a job offer?,32,299.452,0.1091
llama3:8b,How do I negotiate my salary during a job offer?,26,299.463,0.1261
llama3:8b,Can you explain inflation in simple terms?,29,299.474,0.1146
llama3:8b,How do I write a professional follow-up email after a job in...,25,299.609,0.1277
llama3:8b,What are some fun icebreaker questions for team meetings?,30,299.358,0.1146
llama3:8b,How do I write a professional follow-up email after a job in...,25,299.602,0.1280
llama3:8b,What's the difference between anxiety and stress?,28,299.471,0.1190
llama3:8b,How do I write a professional follow-up email after a job in...,2,300.316,1.2507
llama3:8b,Can you summarize the key points of the book Atomic Habits?,31,299.471,0.1116
llama3:8b,What's the difference between anxiety and stress?,62,298.545,0.0707
llama3:8b,How do I write a professional follow-up email after a job in...,50,298.860,0.0815
llama3:8b,How can I start a simple workout routine at home with no equ...,2,300.356,1.2899
llama3:8b,How do I write a professional follow-up email after a job in...,35,299.238,0.1006
llama3:8b,What's the difference between anxiety and stress?,57,298.596,0.0736
llama3:8b,What's the difference between anxiety and stress?,31,299.358,0.1108
llama3:8b,What are some tips to stay focused while studying?,29,299.417,0.1167
llama3:8b,Can you summarize the key points of the book Atomic Habits?,28,299.459,0.1193
llama3:8b,Can you summarize the key points of the book Atomic Habits?,55,298.602,0.0764
llama3:8b,How do I negotiate my salary during a job offer?,24,299.555,0.1357
llama3:8b,How can I start a simple workout routine at home with no equ...,24,299.551,0.1358
llama3:8b,What's the difference between anxiety and stress?,24,299.653,0.1317
llama3:8b,Can you explain inflation in simple terms?,30,299.410,0.1136
llama3:8b,What are some tips to stay focused while studying?,33,299.453,0.1069
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,43,298.868,0.0883
