Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,415,4.757,0.0310
llama3:8b,What's the difference between anxiety and stress?,446,4.756,0.0311
llama3:8b,What are some fun icebreaker questions for team meetings?,442,4.761,0.0318
llama3:8b,What are some tips to stay focused while studying?,494,4.757,0.0300
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,476,4.761,0.0318
llama3:8b,How do I negotiate my salary during a job offer?,488,4.763,0.0313
llama3:8b,What are some tips to stay focused while studying?,550,4.761,0.0314
llama3:8b,What are some tips to stay focused while studying?,563,4.757,0.0309
llama3:8b,Can you summarize the key points of the book Atomic Habits?,580,4.755,0.0304
llama3:8b,How do I negotiate my salary during a job offer?,554,4.769,0.0320
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,590,4.758,0.0304
llama3:8b,What are some tips to stay focused while studying?,592,4.759,0.0319
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,348,17.780,0.0327
llama3:8b,Can you explain inflation in simple terms?,440,18.826,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,467,18.691,0.0328
llama3:8b,What are some fun icebreaker questions for team meetings?,468,19.617,0.0327
llama3:8b,What's the difference between anxiety and stress?,475,20.104,0.0328
llama3:8b,Can you summarize the key points of the book Atomic Habits?,517,19.886,0.0328
llama3:8b,What are some fun icebreaker questions for team meetings?,441,22.501,0.0327
llama3:8b,What are some fun icebreaker questions for team meetings?,453,22.758,0.0330
llama3:8b,What are some fun icebreaker questions for team meetings?,487,21.985,0.0326
llama3:8b,How do I write a professional follow-up email after a job in...,521,22.077,0.0326
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,317,29.308,0.0320
llama3:8b,Can you summarize the key points of the book Atomic Habits?,483,23.728,0.0328
llama3:8b,Can you summarize the key points of the book Atomic Habits?,573,22.570,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,384,34.984,0.0325
llama3:8b,What's the difference between anxiety and stress?,503,33.402,0.0331
llama3:8b,How do I write a professional follow-up email after a job in...,512,37.983,0.0324
llama3:8b,How can I start a simple workout routine at home with no equ...,540,37.702,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,596,35.783,0.0326
llama3:8b,How can I start a simple workout routine at home with no equ...,652,34.086,0.0326
llama3:8b,What are some tips to stay focused while studying?,568,37.002,0.0326
llama3:8b,How do I negotiate my salary during a job offer?,508,39.632,0.0328
llama3:8b,Can you summarize the key points of the book Atomic Habits?,539,39.108,0.0328
llama3:8b,Can you explain inflation in simple terms?,473,41.522,0.0327
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,709,36.892,0.0330
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,712,39.536,0.0330
llama3:8b,What are some tips to stay focused while studying?,492,47.517,0.0324
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,317,54.685,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,590,50.166,0.0331
llama3:8b,What are some tips to stay focused while studying?,424,55.430,0.0338
llama3:8b,Can you explain inflation in simple terms?,433,55.357,0.0334
llama3:8b,What's the difference between anxiety and stress?,472,56.866,0.0340
llama3:8b,What are some tips to stay focused while studying?,546,55.321,0.0340
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,335,63.127,0.0341
llama3:8b,Can you summarize the key points of the book Atomic Habits?,604,55.271,0.0325
llama3:8b,What are some fun icebreaker questions for team meetings?,415,64.075,0.0324
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,722,55.538,0.0324
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,482,63.544,0.0324
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,673,57.110,0.0332
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,726,60.331,0.0333
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,322,73.927,0.0329
llama3:8b,Can you summarize the key points of the book Atomic Habits?,538,69.830,0.0325
llama3:8b,What's the difference between anxiety and stress?,486,72.956,0.0322
llama3:8b,Can you explain inflation in simple terms?,461,73.946,0.0320
llama3:8b,What are some tips to stay focused while studying?,535,70.857,0.0334
llama3:8b,What are some tips to stay focused while studying?,593,69.725,0.0335
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,386,78.201,0.0332
llama3:8b,What are some fun icebreaker questions for team meetings?,402,78.108,0.0331
llama3:8b,What's the difference between anxiety and stress?,466,78.579,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,343,83.265,0.0342
llama3:8b,How do I write a professional follow-up email after a job in...,526,78.525,0.0341
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,781,74.655,0.0326
llama3:8b,How can I start a simple workout routine at home with no equ...,527,84.597,0.0327
llama3:8b,Can you explain inflation in simple terms?,368,91.196,0.0324
llama3:8b,What's the difference between anxiety and stress?,501,87.643,0.0334
llama3:8b,Can you summarize the key points of the book Atomic Habits?,556,87.352,0.0334
llama3:8b,How do I write a professional follow-up email after a job in...,512,87.820,0.0335
llama3:8b,How do I negotiate my salary during a job offer?,524,91.113,0.0325
llama3:8b,What are some tips to stay focused while studying?,597,89.640,0.0330
llama3:8b,Can you summarize the key points of the book Atomic Habits?,484,94.132,0.0324
llama3:8b,Can you summarize the key points of the book Atomic Habits?,667,88.807,0.0330
llama3:8b,What are some fun icebreaker questions for team meetings?,471,96.404,0.0323
llama3:8b,What are some tips to stay focused while studying?,507,99.194,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,366,105.452,0.0326
llama3:8b,Can you summarize the key points of the book Atomic Habits?,650,96.530,0.0325
llama3:8b,Can you explain inflation in simple terms?,308,108.179,0.0313
llama3:8b,How do I write a professional follow-up email after a job in...,511,101.569,0.0318
llama3:8b,How do I negotiate my salary during a job offer?,503,103.174,0.0317
llama3:8b,What are some fun icebreaker questions for team meetings?,515,105.021,0.0324
llama3:8b,Can you summarize the key points of the book Atomic Habits?,556,108.520,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,549,110.892,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,318,118.728,0.0333
llama3:8b,How do I negotiate my salary during a job offer?,545,111.677,0.0332
llama3:8b,Can you explain inflation in simple terms?,385,116.404,0.0326
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,779,104.705,0.0326
llama3:8b,What are some tips to stay focused while studying?,480,117.958,0.0313
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,457,120.535,0.0315
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,802,108.925,0.0315
llama3:8b,Can you summarize the key points of the book Atomic Habits?,525,117.902,0.0316
llama3:8b,Can you explain inflation in simple terms?,393,126.597,0.0333
llama3:8b,What's the difference between anxiety and stress?,404,127.833,0.0332
llama3:8b,Can you explain inflation in simple terms?,496,128.128,0.0330
llama3:8b,Can you explain inflation in simple terms?,490,128.805,0.0331
llama3:8b,How can I start a simple workout routine at home with no equ...,886,115.983,0.0333
llama3:8b,How can I start a simple workout routine at home with no equ...,738,121.786,0.0336
llama3:8b,How do I negotiate my salary during a job offer?,578,129.029,0.0340
llama3:8b,How do I write a professional follow-up email after a job in...,539,130.534,0.0340
