Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,162,0.667,0.0278
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,204,0.904,0.0264
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,229,0.964,0.0266
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,236,0.864,0.0263
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,279,0.669,0.0244
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,303,0.967,0.0246
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,311,1.018,0.0253
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",344,0.929,0.0240
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,328,1.150,0.0250
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,362,0.592,0.0252
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,354,0.594,0.0258
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,362,0.846,0.0248
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,348,1.143,0.0253
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,379,0.864,0.0247
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,372,0.861,0.0260
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,381,1.075,0.0257
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,413,0.671,0.0258
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,99,8.984,0.0259
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,450,0.596,0.0249
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,433,0.905,0.0257
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,290,4.972,0.0259
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,248,7.068,0.0261
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,529,0.899,0.0248
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,320,5.866,0.0257
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,187,9.172,0.0265
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,192,9.878,0.0263
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,173,10.959,0.0262
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,204,10.257,0.0260
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,330,6.945,0.0263
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,319,7.597,0.0265
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,230,10.597,0.0263
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,144,14.212,0.0276
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,239,12.087,0.0265
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,341,9.417,0.0264
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,233,12.567,0.0265
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,397,8.653,0.0259
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,194,14.942,0.0259
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,326,11.404,0.0265
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,291,13.616,0.0264
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,412,11.626,0.0266
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,512,9.800,0.0266
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,200,19.034,0.0267
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,326,16.152,0.0274
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",254,18.269,0.0274
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,448,14.158,0.0265
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,611,9.744,0.0269
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,401,15.720,0.0268
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,424,15.579,0.0266
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,645,10.013,0.0265
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,316,18.602,0.0271
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,486,14.103,0.0276
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",274,20.164,0.0270
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,421,16.739,0.0268
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,592,11.884,0.0276
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",380,18.597,0.0279
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,148,25.408,0.0272
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,519,15.632,0.0270
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,278,22.688,0.0281
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,316,23.514,0.0273
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,228,25.128,0.0284
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,423,21.390,0.0268
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,219,26.999,0.0263
