Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
gemma3:4b,What are some fun icebreaker questions for team meetings?,1054,29.466,0.0200
gemma3:4b,What are some fun icebreaker questions for team meetings?,1151,28.587,0.0197
gemma3:4b,Can you explain inflation in simple terms?,527,46.711,0.0187
gemma3:4b,What's the difference between anxiety and stress?,896,37.150,0.0196
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,831,40.497,0.0195
gemma3:4b,How can I start a simple workout routine at home with no equ...,948,38.326,0.0196
gemma3:4b,What's the difference between anxiety and stress?,805,43.489,0.0190
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1237,39.018,0.0197
gemma3:4b,How can I start a simple workout routine at home with no equ...,1238,40.609,0.0198
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1295,42.354,0.0197
gemma3:4b,How do I write a professional follow-up email after a job in...,993,50.242,0.0194
gemma3:4b,What are some tips to stay focused while studying?,1014,49.546,0.0198
gemma3:4b,What's the difference between anxiety and stress?,821,53.752,0.0193
gemma3:4b,What's the difference between anxiety and stress?,875,55.790,0.0200
gemma3:4b,What are some fun icebreaker questions for team meetings?,1007,55.627,0.0192
gemma3:4b,How do I negotiate my salary during a job offer?,1287,56.981,0.0200
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1271,57.839,0.0193
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,841,67.919,0.0199
gemma3:4b,How do I write a professional follow-up email after a job in...,1097,62.429,0.0200
gemma3:4b,How can I start a simple workout routine at home with no equ...,1096,64.139,0.0198
gemma3:4b,Can you explain inflation in simple terms?,443,81.416,0.0197
gemma3:4b,How can I start a simple workout routine at home with no equ...,1047,67.623,0.0197
gemma3:4b,What's the difference between anxiety and stress?,878,73.973,0.0197
gemma3:4b,Can you explain inflation in simple terms?,558,80.700,0.0194
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1176,69.604,0.0191
gemma3:4b,Can you explain inflation in simple terms?,520,84.416,0.0200
gemma3:4b,How do I negotiate my salary during a job offer?,1273,68.514,0.0191
gemma3:4b,How do I write a professional follow-up email after a job in...,1115,73.366,0.0200
gemma3:4b,What's the difference between anxiety and stress?,884,81.740,0.0194
gemma3:4b,Can you explain inflation in simple terms?,521,90.619,0.0195
gemma3:4b,What's the difference between anxiety and stress?,805,88.266,0.0198
gemma3:4b,How can I start a simple workout routine at home with no equ...,1015,90.307,0.0194
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,892,90.916,0.0192
gemma3:4b,What's the difference between anxiety and stress?,869,94.853,0.0201
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1245,84.876,0.0198
gemma3:4b,How can I start a simple workout routine at home with no equ...,1116,90.203,0.0194
gemma3:4b,How can I start a simple workout routine at home with no equ...,1114,91.106,0.0194
gemma3:4b,What are some fun icebreaker questions for team meetings?,1120,95.718,0.0201
gemma3:4b,What are some fun icebreaker questions for team meetings?,1015,98.924,0.0196
gemma3:4b,How do I write a professional follow-up email after a job in...,1054,99.821,0.0196
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,828,102.249,0.0199
gemma3:4b,Can you explain inflation in simple terms?,635,109.050,0.0195
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,825,109.923,0.0195
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,853,107.604,0.0199
gemma3:4b,What are some tips to stay focused while studying?,982,111.390,0.0200
gemma3:4b,How do I write a professional follow-up email after a job in...,1104,107.101,0.0199
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,771,118.746,0.0197
gemma3:4b,How do I write a professional follow-up email after a job in...,1055,117.267,0.0199
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1240,110.721,0.0199
gemma3:4b,What are some tips to stay focused while studying?,975,121.460,0.0194
gemma3:4b,What are some fun icebreaker questions for team meetings?,1028,118.568,0.0201
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,791,123.638,0.0194
