Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,377,64.543,0.0269
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,560,60.893,0.0270
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,315,67.921,0.0271
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,314,70.110,0.0277
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,618,67.219,0.0274
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",375,70.797,0.0279
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,485,70.767,0.0279
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,265,82.328,0.0235
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,281,79.253,0.0234
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,327,71.867,0.0284
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,304,71.018,0.0284
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,428,77.415,0.0242
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,440,81.327,0.0243
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,390,72.052,0.0283
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,431,71.833,0.0282
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,260,86.083,0.0262
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,490,84.622,0.0261
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,334,86.823,0.0265
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,544,83.448,0.0263
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,209,71.036,0.0278
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,269,71.112,0.0279
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,220,93.024,0.0273
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,548,71.227,0.0280
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,535,70.742,0.0279
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,255,92.733,0.0274
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,303,93.480,0.0274
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,179,94.067,0.0272
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",305,69.699,0.0275
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",314,71.135,0.0275
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,394,70.475,0.0276
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,284,71.743,0.0275
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",330,93.788,0.0263
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,554,92.464,0.0268
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,382,94.036,0.0265
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,293,71.301,0.0255
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,455,95.012,0.0268
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,212,99.635,0.0275
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,500,71.161,0.0261
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,478,69.601,0.0260
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,275,70.851,0.0269
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,576,70.427,0.0263
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,579,101.411,0.0266
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,368,71.289,0.0276
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,616,102.087,0.0267
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,536,104.277,0.0267
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,548,102.478,0.0267
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",307,71.316,0.0279
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",232,112.528,0.0284
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",380,71.255,0.0279
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,487,71.088,0.0279
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,297,113.668,0.0261
