Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",240,127.306,0.0264
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,576,121.340,0.0267
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,270,127.897,0.0269
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,405,125.518,0.0266
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,363,129.915,0.0267
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,512,125.107,0.0269
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,304,129.711,0.0275
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,419,129.614,0.0275
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,345,133.382,0.0263
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,435,133.047,0.0265
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,522,127.958,0.0271
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,312,133.777,0.0278
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,440,132.807,0.0265
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,310,135.356,0.0272
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,399,132.737,0.0278
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,250,137.888,0.0273
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,154,141.533,0.0274
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,246,141.431,0.0268
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",442,135.109,0.0274
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,425,137.669,0.0265
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,360,137.148,0.0277
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,253,142.649,0.0269
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",317,139.412,0.0276
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,249,141.894,0.0275
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",250,142.270,0.0258
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,392,142.543,0.0263
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,417,141.832,0.0262
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,405,142.888,0.0260
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,330,144.835,0.0263
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,384,144.288,0.0258
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,391,147.223,0.0261
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,322,147.254,0.0257
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,197,150.171,0.0263
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",436,146.184,0.0260
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,46,154.437,0.0257
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",278,152.062,0.0264
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,478,148.003,0.0263
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,372,148.302,0.0263
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,143,155.617,0.0261
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,244,153.584,0.0260
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,60,159.380,0.0270
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,445,148.823,0.0258
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,417,151.493,0.0261
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,220,156.598,0.0265
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,648,148.017,0.0267
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,196,159.027,0.0264
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,301,155.703,0.0259
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",349,159.630,0.0283
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,192,161.499,0.0264
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",453,157.159,0.0264
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,223,163.276,0.0265
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,389,161.087,0.0286
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,606,154.220,0.0264
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,292,161.303,0.0269
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,570,156.519,0.0281
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,479,158.432,0.0266
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,325,164.922,0.0282
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,480,158.383,0.0266
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,230,169.591,0.0271
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,376,163.566,0.0277
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,314,166.650,0.0268
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",239,171.289,0.0260
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,258,168.306,0.0269
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,212,170.222,0.0268
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,304,168.217,0.0267
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,376,167.409,0.0265
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,272,173.921,0.0260
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,426,168.272,0.0269
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,286,172.061,0.0254
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,298,174.151,0.0269
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,463,173.181,0.0262
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",302,174.338,0.0258
