Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
gemma3:4b,What are some fun icebreaker questions for team meetings?,1010,130.767,0.0197
gemma3:4b,What are some tips to stay focused while studying?,1021,132.815,0.0201
gemma3:4b,What's the difference between anxiety and stress?,819,140.201,0.0199
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,778,144.772,0.0197
gemma3:4b,What are some tips to stay focused while studying?,1010,139.589,0.0195
gemma3:4b,What are some fun icebreaker questions for team meetings?,1090,141.716,0.0202
gemma3:4b,Can you explain inflation in simple terms?,565,156.539,0.0195
gemma3:4b,What's the difference between anxiety and stress?,827,151.434,0.0201
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,907,149.676,0.0196
gemma3:4b,How can I start a simple workout routine at home with no equ...,1028,160.174,0.0196
gemma3:4b,How can I start a simple workout routine at home with no equ...,1140,158.365,0.0196
gemma3:4b,What's the difference between anxiety and stress?,885,166.629,0.0198
gemma3:4b,What are some fun icebreaker questions for team meetings?,1005,163.767,0.0199
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,826,168.132,0.0199
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,880,167.495,0.0196
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,784,179.368,0.0197
gemma3:4b,What's the difference between anxiety and stress?,882,183.599,0.0197
gemma3:4b,What's the difference between anxiety and stress?,890,183.781,0.0191
gemma3:4b,How can I start a simple workout routine at home with no equ...,1073,182.840,0.0198
gemma3:4b,How do I negotiate my salary during a job offer?,1270,184.218,0.0197
gemma3:4b,How do I negotiate my salary during a job offer?,1435,180.747,0.0194
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,875,193.861,0.0199
gemma3:4b,What are some fun icebreaker questions for team meetings?,1016,200.848,0.0196
gemma3:4b,What's the difference between anxiety and stress?,891,209.271,0.0198
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,848,205.562,0.0196
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1201,201.039,0.0201
gemma3:4b,What's the difference between anxiety and stress?,917,212.310,0.0198
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,810,218.801,0.0190
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,934,222.192,0.0190
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,903,223.236,0.0202
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1298,220.333,0.0202
gemma3:4b,What are some fun icebreaker questions for team meetings?,1177,225.969,0.0200
