Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
gemma3:4b,Can you explain inflation in simple terms?,532,13.799,0.0189
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,825,12.454,0.0188
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,769,14.021,0.0190
gemma3:4b,How can I start a simple workout routine at home with no equ...,912,12.914,0.0191
gemma3:4b,How do I write a professional follow-up email after a job in...,1150,12.453,0.0192
gemma3:4b,How do I negotiate my salary during a job offer?,1186,13.168,0.0192
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,811,23.917,0.0196
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,881,27.641,0.0200
gemma3:4b,What are some tips to stay focused while studying?,1073,27.067,0.0199
gemma3:4b,What's the difference between anxiety and stress?,837,33.547,0.0199
gemma3:4b,How can I start a simple workout routine at home with no equ...,1072,30.358,0.0197
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,870,36.010,0.0198
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,850,39.868,0.0198
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,747,49.437,0.0195
gemma3:4b,How can I start a simple workout routine at home with no equ...,984,45.312,0.0196
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,832,51.474,0.0198
gemma3:4b,What are some tips to stay focused while studying?,978,49.251,0.0196
gemma3:4b,How do I write a professional follow-up email after a job in...,1097,53.295,0.0197
gemma3:4b,What are some tips to stay focused while studying?,980,56.726,0.0198
gemma3:4b,How do I write a professional follow-up email after a job in...,999,65.627,0.0199
gemma3:4b,What are some tips to stay focused while studying?,960,69.002,0.0200
gemma3:4b,How do I negotiate my salary during a job offer?,1298,62.059,0.0199
gemma3:4b,How can I start a simple workout routine at home with no equ...,869,73.976,0.0200
gemma3:4b,How do I negotiate my salary during a job offer?,1281,68.464,0.0200
gemma3:4b,How do I write a professional follow-up email after a job in...,1087,73.141,0.0200
gemma3:4b,What's the difference between anxiety and stress?,871,83.587,0.0199
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,856,87.988,0.0199
gemma3:4b,Can you explain inflation in simple terms?,540,94.959,0.0201
gemma3:4b,What are some fun icebreaker questions for team meetings?,1133,85.256,0.0201
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,851,94.089,0.0199
gemma3:4b,How can I start a simple workout routine at home with no equ...,1094,90.432,0.0198
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,752,99.922,0.0199
gemma3:4b,How can I start a simple workout routine at home with no equ...,912,105.101,0.0198
gemma3:4b,How can I start a simple workout routine at home with no equ...,1010,104.886,0.0201
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,924,107.069,0.0201
gemma3:4b,What's the difference between anxiety and stress?,867,112.175,0.0197
gemma3:4b,How do I write a professional follow-up email after a job in...,1109,111.070,0.0198
gemma3:4b,Can you explain inflation in simple terms?,550,124.723,0.0195
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1256,114.984,0.0198
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,842,124.270,0.0197
gemma3:4b,How do I write a professional follow-up email after a job in...,1089,123.189,0.0199
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,827,132.056,0.0199
gemma3:4b,What are some fun icebreaker questions for team meetings?,1202,129.353,0.0202
gemma3:4b,What's the difference between anxiety and stress?,814,135.499,0.0199
gemma3:4b,What's the difference between anxiety and stress?,880,138.852,0.0203
gemma3:4b,What are some tips to stay focused while studying?,897,140.873,0.0199
gemma3:4b,What are some fun icebreaker questions for team meetings?,931,143.887,0.0196
gemma3:4b,What's the difference between anxiety and stress?,920,147.543,0.0196
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,860,151.774,0.0199
gemma3:4b,Can you explain inflation in simple terms?,464,161.218,0.0195
gemma3:4b,What are some fun icebreaker questions for team meetings?,959,156.777,0.0198
gemma3:4b,What's the difference between anxiety and stress?,860,158.765,0.0200
gemma3:4b,How do I negotiate my salary during a job offer?,1380,152.641,0.0200
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,853,168.322,0.0197
gemma3:4b,What are some tips to stay focused while studying?,973,167.949,0.0199
gemma3:4b,How do I negotiate my salary during a job offer?,1213,165.643,0.0196
gemma3:4b,How can I start a simple workout routine at home with no equ...,996,174.971,0.0200
gemma3:4b,How do I write a professional follow-up email after a job in...,1178,175.819,0.0203
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,872,187.403,0.0201
