Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,883,3.533,0.0197
gemma3:4b,What are some tips to stay focused while studying?,943,3.542,0.0193
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,972,3.536,0.0197
gemma3:4b,What are some fun icebreaker questions for team meetings?,1094,3.537,0.0195
gemma3:4b,How do I negotiate my salary during a job offer?,1264,3.536,0.0198
gemma3:4b,How do I negotiate my salary during a job offer?,1278,3.538,0.0198
gemma3:4b,What's the difference between anxiety and stress?,862,24.858,0.0200
gemma3:4b,What are some fun icebreaker questions for team meetings?,1067,22.788,0.0199
gemma3:4b,How do I negotiate my salary during a job offer?,1231,20.999,0.0200
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,892,28.846,0.0204
gemma3:4b,How do I negotiate my salary during a job offer?,1384,21.800,0.0200
gemma3:4b,What are some fun icebreaker questions for team meetings?,1102,28.565,0.0204
gemma3:4b,Can you explain inflation in simple terms?,524,51.055,0.0202
gemma3:4b,What are some tips to stay focused while studying?,1018,44.095,0.0200
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,804,49.520,0.0201
gemma3:4b,How can I start a simple workout routine at home with no equ...,1070,45.604,0.0200
gemma3:4b,How do I write a professional follow-up email after a job in...,1264,42.105,0.0201
gemma3:4b,How do I write a professional follow-up email after a job in...,1163,47.124,0.0202
gemma3:4b,Can you explain inflation in simple terms?,526,61.707,0.0202
gemma3:4b,Can you explain inflation in simple terms?,554,70.688,0.0193
gemma3:4b,What's the difference between anxiety and stress?,906,64.522,0.0199
gemma3:4b,What are some tips to stay focused while studying?,953,65.687,0.0198
gemma3:4b,What are some tips to stay focused while studying?,983,67.049,0.0199
gemma3:4b,What are some fun icebreaker questions for team meetings?,1022,67.508,0.0199
gemma3:4b,How can I start a simple workout routine at home with no equ...,1048,72.384,0.0197
gemma3:4b,What are some tips to stay focused while studying?,989,80.477,0.0201
gemma3:4b,What are some fun icebreaker questions for team meetings?,1004,82.561,0.0198
gemma3:4b,What's the difference between anxiety and stress?,787,87.879,0.0201
gemma3:4b,What are some fun icebreaker questions for team meetings?,1107,84.623,0.0202
gemma3:4b,What are some fun icebreaker questions for team meetings?,1139,86.643,0.0198
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,860,92.032,0.0200
gemma3:4b,Can you explain inflation in simple terms?,425,109.254,0.0198
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,868,101.354,0.0199
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,863,102.490,0.0199
gemma3:4b,How do I negotiate my salary during a job offer?,1254,103.765,0.0201
gemma3:4b,What are some fun icebreaker questions for team meetings?,1101,106.969,0.0201
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,955,109.261,0.0200
gemma3:4b,What are some tips to stay focused while studying?,854,117.682,0.0200
gemma3:4b,What are some tips to stay focused while studying?,1001,117.743,0.0196
gemma3:4b,What are some fun icebreaker questions for team meetings?,1086,119.736,0.0196
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,855,129.041,0.0202
gemma3:4b,What's the difference between anxiety and stress?,890,129.398,0.0199
gemma3:4b,What are some tips to stay focused while studying?,1008,129.177,0.0202
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,790,135.816,0.0199
gemma3:4b,Can you explain inflation in simple terms?,558,146.340,0.0205
gemma3:4b,How can I start a simple workout routine at home with no equ...,1124,136.436,0.0199
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1204,141.099,0.0200
gemma3:4b,Can you explain inflation in simple terms?,514,156.850,0.0201
gemma3:4b,How can I start a simple workout routine at home with no equ...,1197,146.192,0.0199
gemma3:4b,How do I write a professional follow-up email after a job in...,1138,150.616,0.0199
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1325,148.592,0.0203
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,878,158.898,0.0199
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1242,165.172,0.0198
gemma3:4b,How can I start a simple workout routine at home with no equ...,1078,168.207,0.0202
