Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,825,0.675,0.0255
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,829,1.301,0.0257
gemma3:4b,What's the difference between anxiety and stress?,851,11.785,0.0247
gemma3:4b,How do I negotiate my salary during a job offer?,1378,12.597,0.0252
gemma3:4b,Can you explain inflation in simple terms?,543,29.930,0.0258
gemma3:4b,How do I write a professional follow-up email after a job in...,1143,18.711,0.0254
gemma3:4b,How do I negotiate my salary during a job offer?,1284,17.794,0.0255
gemma3:4b,What are some tips to stay focused while studying?,1006,42.446,0.0250
gemma3:4b,How can I start a simple workout routine at home with no equ...,996,42.075,0.0250
gemma3:4b,How can I start a simple workout routine at home with no equ...,957,43.882,0.0248
gemma3:4b,What are some tips to stay focused while studying?,1108,30.930,0.0248
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,841,37.440,0.0257
gemma3:4b,What are some tips to stay focused while studying?,992,24.666,0.0258
gemma3:4b,How can I start a simple workout routine at home with no equ...,1135,48.226,0.0258
gemma3:4b,What are some fun icebreaker questions for team meetings?,1087,30.121,0.0259
gemma3:4b,What are some fun icebreaker questions for team meetings?,993,41.204,0.0260
gemma3:4b,Can you explain inflation in simple terms?,543,33.430,0.0259
gemma3:4b,What's the difference between anxiety and stress?,801,28.416,0.0260
gemma3:4b,What's the difference between anxiety and stress?,885,46.747,0.0260
gemma3:4b,What are some tips to stay focused while studying?,962,43.970,0.0251
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,935,26.344,0.0249
gemma3:4b,How do I write a professional follow-up email after a job in...,1103,21.836,0.0251
gemma3:4b,How do I negotiate my salary during a job offer?,1340,39.772,0.0253
gemma3:4b,Can you explain inflation in simple terms?,548,35.625,0.0262
gemma3:4b,What are some tips to stay focused while studying?,942,40.650,0.0264
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,796,28.151,0.0268
gemma3:4b,Can you explain inflation in simple terms?,491,35.109,0.0267
gemma3:4b,What's the difference between anxiety and stress?,812,32.520,0.0263
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,740,43.939,0.0250
gemma3:4b,What are some fun icebreaker questions for team meetings?,1087,25.053,0.0250
gemma3:4b,What's a quick and healthy dinner I can make with chicken an...,879,25.695,0.0251
gemma3:4b,How do I write a professional follow-up email after a job in...,1250,24.932,0.0253
gemma3:4b,What's the difference between anxiety and stress?,798,30.409,0.0259
gemma3:4b,How do I negotiate my salary during a job offer?,1204,37.705,0.0268
gemma3:4b,What's the difference between anxiety and stress?,939,32.687,0.0269
gemma3:4b,How do I write a professional follow-up email after a job in...,1073,31.614,0.0269
gemma3:4b,How do I negotiate my salary during a job offer?,1352,28.784,0.0268
gemma3:4b,Can you summarize the key points of the book Atomic Habits?,775,43.891,0.0265
gemma3:4b,What are some tips to stay focused while studying?,962,51.838,0.0265
gemma3:4b,What are some fun icebreaker questions for team meetings?,958,32.524,0.0266
gemma3:4b,What are some tips to stay focused while studying?,948,34.221,0.0265
gemma3:4b,What's the difference between anxiety and stress?,811,25.087,0.0268
gemma3:4b,What are some tips to stay focused while studying?,1002,26.588,0.0268
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1257,47.609,0.0268
gemma3:4b,Can you help me plan a 3-day trip to Paris on a budget?,1251,46.195,0.0268
