Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,163,6.881,0.0231
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,259,6.886,0.0234
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,240,7.933,0.0233
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,249,9.152,0.0232
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,264,9.149,0.0232
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,385,6.984,0.0240
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",273,9.734,0.0247
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,438,6.879,0.0241
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,359,8.841,0.0240
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,358,9.155,0.0238
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,372,7.938,0.0241
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,380,8.840,0.0243
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,439,8.839,0.0248
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,271,13.609,0.0257
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,341,12.042,0.0257
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,305,13.999,0.0258
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,212,15.574,0.0261
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,208,16.751,0.0262
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,310,14.379,0.0259
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,262,15.987,0.0258
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,258,18.823,0.0252
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,389,15.255,0.0262
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,222,20.187,0.0259
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,288,19.647,0.0259
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,458,15.591,0.0260
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,270,20.488,0.0242
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,465,16.149,0.0260
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",356,20.271,0.0245
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,424,20.958,0.0247
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,602,15.572,0.0264
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,138,26.050,0.0255
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,504,19.873,0.0266
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,270,26.035,0.0273
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,437,22.820,0.0266
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,361,27.179,0.0269
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,494,22.386,0.0256
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,238,28.651,0.0265
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",406,26.561,0.0269
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,275,29.501,0.0266
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,234,32.519,0.0267
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",470,27.320,0.0269
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,274,32.379,0.0277
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,157,34.103,0.0270
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,357,30.537,0.0278
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,656,23.504,0.0274
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",346,33.488,0.0281
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,532,28.053,0.0267
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,163,38.023,0.0268
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,190,39.553,0.0285
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,351,34.043,0.0271
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,399,34.976,0.0269
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,344,36.570,0.0268
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,355,37.863,0.0270
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,135,41.647,0.0271
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,272,41.294,0.0284
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,491,33.906,0.0273
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,406,36.424,0.0273
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,430,39.079,0.0285
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,233,44.056,0.0283
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,430,40.557,0.0283
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,457,42.474,0.0264
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,398,43.772,0.0264
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,248,49.101,0.0268
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",278,45.397,0.0268
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,155,50.795,0.0263
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,197,50.738,0.0263
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,568,38.356,0.0272
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,290,45.598,0.0269
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,339,50.423,0.0265
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,559,43.892,0.0266
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,491,46.513,0.0267
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,124,38.879,0.0274
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,428,45.358,0.0272
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,221,54.948,0.0259
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,247,54.341,0.0276
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,258,51.942,0.0277
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,320,53.629,0.0277
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,222,57.477,0.0251
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,256,58.867,0.0267
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,176,42.934,0.0250
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,460,54.023,0.0258
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,246,59.766,0.0257
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,568,54.816,0.0261
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,381,41.855,0.0261
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,539,52.866,0.0266
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,248,63.771,0.0259
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,486,41.949,0.0264
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,252,65.969,0.0276
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,546,58.698,0.0267
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,373,63.141,0.0272
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,294,66.165,0.0276
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,543,60.256,0.0264
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",204,44.340,0.0274
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,557,60.575,0.0264
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,397,43.047,0.0272
