Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,318,0.367,0.0273
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",361,0.328,0.0279
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,218,4.325,0.0252
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,190,4.371,0.0249
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,495,0.286,0.0268
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,420,0.413,0.0278
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,215,6.235,0.0272
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",540,0.373,0.0277
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,263,6.232,0.0272
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",385,4.249,0.0280
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,438,4.324,0.0266
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,426,5.324,0.0277
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,249,8.897,0.0272
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,235,8.654,0.0272
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,318,7.502,0.0280
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,278,10.153,0.0274
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,376,9.181,0.0273
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,538,6.895,0.0273
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,166,13.476,0.0266
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,405,10.153,0.0274
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,353,12.093,0.0272
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,457,10.481,0.0275
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,497,11.415,0.0275
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,377,11.507,0.0266
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,433,13.177,0.0266
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,282,17.681,0.0274
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,494,14.034,0.0268
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,416,15.850,0.0275
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,296,19.320,0.0263
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,547,11.758,0.0269
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,212,21.226,0.0275
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",353,19.781,0.0264
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,258,23.123,0.0275
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,509,15.532,0.0269
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,294,22.771,0.0268
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,228,23.370,0.0277
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,571,17.974,0.0268
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,377,23.178,0.0275
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",279,25.379,0.0274
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,362,23.498,0.0274
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,195,27.362,0.0272
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,233,21.164,0.0272
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,330,25.186,0.0275
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,180,30.966,0.0279
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,427,24.132,0.0270
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",399,22.275,0.0268
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",338,31.639,0.0245
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,278,8.573,0.0266
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,275,33.811,0.0279
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,491,18.692,0.0268
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,176,12.316,0.0271
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",466,24.244,0.0251
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,290,35.141,0.0280
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,540,29.761,0.0281
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,654,26.967,0.0280
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,538,26.773,0.0254
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,229,26.859,0.0269
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,342,11.306,0.0272
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,642,20.705,0.0259
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,202,7.962,0.0271
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,243,7.686,0.0273
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,235,39.560,0.0282
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,412,12.156,0.0273
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,215,30.316,0.0283
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,422,39.813,0.0283
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",289,32.115,0.0284
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,302,7.667,0.0269
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,372,30.809,0.0283
