Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,What's the difference between anxiety and stress?,465,114.689,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,554,115.401,0.0327
llama3:8b,What are some tips to stay focused while studying?,528,118.999,0.0322
llama3:8b,What's the difference between anxiety and stress?,465,118.776,0.0327
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,720,114.581,0.0322
llama3:8b,Can you explain inflation in simple terms?,420,123.512,0.0320
llama3:8b,How do I write a professional follow-up email after a job in...,528,123.740,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,475,128.289,0.0329
llama3:8b,What's the difference between anxiety and stress?,401,126.463,0.0323
llama3:8b,Can you summarize the key points of the book Atomic Habits?,557,126.620,0.0328
llama3:8b,What's the difference between anxiety and stress?,441,130.406,0.0330
llama3:8b,What are some tips to stay focused while studying?,468,125.516,0.0323
llama3:8b,What's the difference between anxiety and stress?,481,128.936,0.0327
llama3:8b,Can you summarize the key points of the book Atomic Habits?,483,128.175,0.0326
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,709,121.618,0.0325
llama3:8b,Can you summarize the key points of the book Atomic Habits?,531,125.411,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,569,129.626,0.0325
llama3:8b,What are some tips to stay focused while studying?,529,133.677,0.0330
llama3:8b,What's the difference between anxiety and stress?,540,125.547,0.0324
llama3:8b,What are some tips to stay focused while studying?,584,125.882,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,551,127.591,0.0323
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,357,137.482,0.0321
llama3:8b,Can you summarize the key points of the book Atomic Habits?,535,132.194,0.0320
llama3:8b,Can you summarize the key points of the book Atomic Habits?,546,134.039,0.0331
llama3:8b,What are some tips to stay focused while studying?,498,135.087,0.0332
llama3:8b,What are some fun icebreaker questions for team meetings?,427,141.972,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,677,131.606,0.0321
llama3:8b,What's the difference between anxiety and stress?,427,138.690,0.0322
llama3:8b,What are some fun icebreaker questions for team meetings?,415,141.710,0.0324
llama3:8b,Can you explain inflation in simple terms?,499,142.968,0.0329
llama3:8b,How do I negotiate my salary during a job offer?,554,143.977,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,505,140.036,0.0322
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,676,138.143,0.0322
llama3:8b,What are some fun icebreaker questions for team meetings?,374,149.126,0.0330
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,776,135.836,0.0330
llama3:8b,Can you explain inflation in simple terms?,356,147.991,0.0326
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,316,150.685,0.0326
llama3:8b,Can you summarize the key points of the book Atomic Habits?,584,144.237,0.0323
llama3:8b,Can you explain inflation in simple terms?,518,143.981,0.0321
llama3:8b,How do I write a professional follow-up email after a job in...,557,142.881,0.0320
llama3:8b,Can you summarize the key points of the book Atomic Habits?,471,151.158,0.0327
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,743,142.739,0.0330
llama3:8b,How do I write a professional follow-up email after a job in...,557,143.438,0.0321
llama3:8b,What are some fun icebreaker questions for team meetings?,419,156.490,0.0330
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,344,155.968,0.0325
llama3:8b,What are some tips to stay focused while studying?,493,156.112,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,485,153.157,0.0324
llama3:8b,What are some tips to stay focused while studying?,513,151.497,0.0323
llama3:8b,Can you summarize the key points of the book Atomic Habits?,531,151.427,0.0323
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,836,140.696,0.0324
llama3:8b,How do I write a professional follow-up email after a job in...,444,158.308,0.0326
llama3:8b,Can you explain inflation in simple terms?,447,159.536,0.0327
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,710,148.182,0.0325
llama3:8b,How do I write a professional follow-up email after a job in...,568,155.441,0.0329
llama3:8b,How can I start a simple workout routine at home with no equ...,519,159.717,0.0323
llama3:8b,What are some fun icebreaker questions for team meetings?,421,157.785,0.0334
llama3:8b,How do I write a professional follow-up email after a job in...,515,159.057,0.0327
llama3:8b,How can I start a simple workout routine at home with no equ...,582,159.471,0.0328
llama3:8b,Can you explain inflation in simple terms?,506,157.622,0.0334
llama3:8b,Can you summarize the key points of the book Atomic Habits?,537,162.103,0.0328
llama3:8b,Can you explain inflation in simple terms?,422,169.330,0.0319
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,363,167.981,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,480,163.720,0.0324
llama3:8b,What are some fun icebreaker questions for team meetings?,452,168.198,0.0326
llama3:8b,What are some tips to stay focused while studying?,565,164.335,0.0326
llama3:8b,How do I write a professional follow-up email after a job in...,515,169.354,0.0319
llama3:8b,What are some fun icebreaker questions for team meetings?,400,170.551,0.0328
llama3:8b,What's the difference between anxiety and stress?,460,161.784,0.0336
llama3:8b,Can you summarize the key points of the book Atomic Habits?,518,172.946,0.0318
llama3:8b,How do I write a professional follow-up email after a job in...,584,171.818,0.0319
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,694,159.380,0.0338
llama3:8b,How do I negotiate my salary during a job offer?,466,172.973,0.0326
llama3:8b,How can I start a simple workout routine at home with no equ...,688,167.164,0.0328
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,425,174.964,0.0328
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,745,167.628,0.0328
llama3:8b,What are some fun icebreaker questions for team meetings?,485,168.936,0.0338
llama3:8b,How do I write a professional follow-up email after a job in...,440,177.790,0.0328
llama3:8b,What are some fun icebreaker questions for team meetings?,468,181.935,0.0323
llama3:8b,What are some fun icebreaker questions for team meetings?,452,176.308,0.0328
llama3:8b,What are some tips to stay focused while studying?,502,171.610,0.0338
llama3:8b,Can you explain inflation in simple terms?,397,179.905,0.0326
llama3:8b,What are some tips to stay focused while studying?,579,177.933,0.0328
llama3:8b,Can you explain inflation in simple terms?,463,185.944,0.0325
llama3:8b,How do I write a professional follow-up email after a job in...,501,181.974,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,456,176.314,0.0337
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,739,174.623,0.0327
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,774,175.589,0.0329
llama3:8b,Can you explain inflation in simple terms?,421,179.806,0.0336
llama3:8b,How do I write a professional follow-up email after a job in...,468,188.481,0.0329
llama3:8b,Can you explain inflation in simple terms?,499,187.176,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,457,186.958,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,501,187.078,0.0326
llama3:8b,Can you explain inflation in simple terms?,426,183.401,0.0331
llama3:8b,Can you explain inflation in simple terms?,280,196.529,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,430,189.208,0.0331
llama3:8b,How can I start a simple workout routine at home with no equ...,677,187.492,0.0330
llama3:8b,Can you summarize the key points of the book Atomic Habits?,477,186.670,0.0326
llama3:8b,How can I start a simple workout routine at home with no equ...,531,194.131,0.0332
llama3:8b,What are some fun icebreaker questions for team meetings?,558,191.399,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,500,191.010,0.0332
llama3:8b,How do I negotiate my salary during a job offer?,619,191.064,0.0332
llama3:8b,Can you summarize the key points of the book Atomic Habits?,516,196.115,0.0327
llama3:8b,Can you explain inflation in simple terms?,315,202.629,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,314,199.110,0.0334
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,981,182.750,0.0332
llama3:8b,Can you summarize the key points of the book Atomic Habits?,518,189.728,0.0321
llama3:8b,How do I negotiate my salary during a job offer?,599,197.282,0.0333
llama3:8b,How do I write a professional follow-up email after a job in...,530,199.167,0.0334
llama3:8b,Can you explain inflation in simple terms?,400,194.483,0.0320
llama3:8b,How can I start a simple workout routine at home with no equ...,572,201.125,0.0335
llama3:8b,What are some tips to stay focused while studying?,605,190.977,0.0321
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,289,206.686,0.0324
llama3:8b,How can I start a simple workout routine at home with no equ...,670,194.910,0.0329
llama3:8b,What's the difference between anxiety and stress?,457,202.590,0.0326
llama3:8b,Can you explain inflation in simple terms?,476,209.769,0.0332
llama3:8b,What are some fun icebreaker questions for team meetings?,393,210.097,0.0321
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,689,202.293,0.0326
llama3:8b,Can you explain inflation in simple terms?,363,203.432,0.0324
llama3:8b,What are some tips to stay focused while studying?,570,207.817,0.0333
llama3:8b,How can I start a simple workout routine at home with no equ...,490,209.791,0.0336
llama3:8b,How do I write a professional follow-up email after a job in...,560,199.261,0.0324
llama3:8b,Can you explain inflation in simple terms?,391,212.361,0.0338
llama3:8b,Can you summarize the key points of the book Atomic Habits?,572,207.772,0.0324
llama3:8b,Can you explain inflation in simple terms?,285,215.525,0.0322
llama3:8b,What's the difference between anxiety and stress?,460,216.075,0.0330
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,351,215.214,0.0320
llama3:8b,What's the difference between anxiety and stress?,435,214.946,0.0340
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,771,204.894,0.0337
llama3:8b,How do I negotiate my salary during a job offer?,540,204.322,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,481,219.377,0.0328
llama3:8b,What are some tips to stay focused while studying?,458,215.033,0.0325
llama3:8b,What are some tips to stay focused while studying?,538,206.418,0.0327
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,780,209.592,0.0324
llama3:8b,What's the difference between anxiety and stress?,461,222.531,0.0314
llama3:8b,How can I start a simple workout routine at home with no equ...,505,222.772,0.0314
llama3:8b,What's the difference between anxiety and stress?,474,212.267,0.0326
llama3:8b,What are some fun icebreaker questions for team meetings?,454,225.901,0.0331
llama3:8b,What's the difference between anxiety and stress?,451,213.533,0.0325
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,353,224.746,0.0331
llama3:8b,What are some fun icebreaker questions for team meetings?,458,225.247,0.0332
llama3:8b,Can you explain inflation in simple terms?,473,225.278,0.0311
llama3:8b,What are some fun icebreaker questions for team meetings?,477,223.380,0.0313
llama3:8b,How do I negotiate my salary during a job offer?,597,225.670,0.0330
llama3:8b,What's the difference between anxiety and stress?,550,224.704,0.0331
llama3:8b,Can you explain inflation in simple terms?,515,230.433,0.0327
llama3:8b,What are some fun icebreaker questions for team meetings?,513,228.785,0.0326
llama3:8b,What are some tips to stay focused while studying?,541,225.533,0.0333
llama3:8b,What's the difference between anxiety and stress?,474,221.102,0.0327
llama3:8b,Can you summarize the key points of the book Atomic Habits?,493,234.221,0.0328
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,309,235.621,0.0324
llama3:8b,What are some tips to stay focused while studying?,528,228.941,0.0334
llama3:8b,What are some tips to stay focused while studying?,544,223.067,0.0327
llama3:8b,Can you explain inflation in simple terms?,403,239.510,0.0321
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,779,228.700,0.0324
llama3:8b,What are some tips to stay focused while studying?,486,227.275,0.0327
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,466,236.332,0.0329
llama3:8b,What are some tips to stay focused while studying?,587,235.329,0.0327
llama3:8b,Can you summarize the key points of the book Atomic Habits?,541,226.778,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,652,231.968,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,557,234.463,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,495,241.908,0.0324
llama3:8b,How do I write a professional follow-up email after a job in...,622,240.132,0.0326
llama3:8b,What are some fun icebreaker questions for team meetings?,389,234.650,0.0324
llama3:8b,Can you explain inflation in simple terms?,509,243.568,0.0326
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,657,243.428,0.0326
llama3:8b,How do I negotiate my salary during a job offer?,577,246.365,0.0324
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,358,250.546,0.0331
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,550,241.629,0.0328
llama3:8b,Can you summarize the key points of the book Atomic Habits?,598,249.444,0.0325
llama3:8b,How do I write a professional follow-up email after a job in...,510,238.881,0.0321
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,866,237.033,0.0330
llama3:8b,Can you explain inflation in simple terms?,387,241.503,0.0317
llama3:8b,Can you explain inflation in simple terms?,447,252.275,0.0332
llama3:8b,What are some fun icebreaker questions for team meetings?,449,250.727,0.0334
llama3:8b,How do I write a professional follow-up email after a job in...,498,241.250,0.0318
llama3:8b,How can I start a simple workout routine at home with no equ...,660,244.654,0.0327
llama3:8b,How can I start a simple workout routine at home with no equ...,707,243.851,0.0332
llama3:8b,What's the difference between anxiety and stress?,491,251.584,0.0334
llama3:8b,What are some tips to stay focused while studying?,462,251.910,0.0328
llama3:8b,Can you explain inflation in simple terms?,449,256.061,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,502,251.621,0.0328
llama3:8b,What are some tips to stay focused while studying?,504,259.215,0.0329
llama3:8b,What's the difference between anxiety and stress?,385,261.423,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,592,245.358,0.0320
llama3:8b,What are some fun icebreaker questions for team meetings?,518,263.146,0.0326
llama3:8b,What's the difference between anxiety and stress?,427,252.044,0.0327
llama3:8b,What are some tips to stay focused while studying?,482,266.935,0.0325
llama3:8b,What are some tips to stay focused while studying?,512,262.662,0.0324
llama3:8b,How can I start a simple workout routine at home with no equ...,715,259.306,0.0333
llama3:8b,What's the difference between anxiety and stress?,407,264.133,0.0326
llama3:8b,How do I write a professional follow-up email after a job in...,520,265.130,0.0334
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,709,263.877,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,572,252.835,0.0328
llama3:8b,How do I write a professional follow-up email after a job in...,556,264.778,0.0322
llama3:8b,What are some tips to stay focused while studying?,514,264.266,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,553,255.166,0.0329
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,763,257.779,0.0325
llama3:8b,What are some fun icebreaker questions for team meetings?,433,274.835,0.0325
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,485,270.027,0.0333
llama3:8b,How can I start a simple workout routine at home with no equ...,587,266.442,0.0319
llama3:8b,How do I negotiate my salary during a job offer?,569,265.951,0.0320
llama3:8b,Can you summarize the key points of the book Atomic Habits?,549,265.175,0.0325
llama3:8b,What are some tips to stay focused while studying?,503,273.170,0.0335
llama3:8b,Can you explain inflation in simple terms?,202,278.732,0.0330
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,538,280.176,0.0329
llama3:8b,What's the difference between anxiety and stress?,385,283.143,0.0330
llama3:8b,What's the difference between anxiety and stress?,441,281.599,0.0325
llama3:8b,Can you explain inflation in simple terms?,441,270.681,0.0317
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,386,279.020,0.0334
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,736,262.996,0.0324
llama3:8b,What are some fun icebreaker questions for team meetings?,435,272.513,0.0318
llama3:8b,How do I write a professional follow-up email after a job in...,692,266.235,0.0322
llama3:8b,How can I start a simple workout routine at home with no equ...,567,281.670,0.0376
llama3:8b,How do I negotiate my salary during a job offer?,583,280.934,0.0326
llama3:8b,What are some tips to stay focused while studying?,587,276.392,0.0334
llama3:8b,What are some fun icebreaker questions for team meetings?,451,283.368,0.0324
llama3:8b,Can you explain inflation in simple terms?,441,285.993,0.0387
llama3:8b,How do I negotiate my salary during a job offer?,567,281.750,0.0325
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,194,293.998,0.0459
llama3:8b,How do I write a professional follow-up email after a job in...,167,295.036,0.0474
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,89,297.665,0.0595
llama3:8b,Can you explain inflation in simple terms?,525,283.315,0.0323
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,494,284.287,0.0375
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,386,287.705,0.0387
llama3:8b,What's the difference between anxiety and stress?,179,295.085,0.0460
llama3:8b,Can you explain inflation in simple terms?,50,299.281,0.0808
llama3:8b,What are some tips to stay focused while studying?,22,299.546,0.1431
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,85,297.663,0.0610
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,680,278.362,0.0360
llama3:8b,How do I write a professional follow-up email after a job in...,64,298.477,0.0707
llama3:8b,What are some fun icebreaker questions for team meetings?,1,300.431,2.5741
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,61,298.545,0.0731
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,60,298.549,0.0742
llama3:8b,How do I negotiate my salary during a job offer?,59,298.588,0.0730
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,30,299.575,0.1109
llama3:8b,How can I start a simple workout routine at home with no equ...,72,298.063,0.0673
llama3:8b,How can I start a simple workout routine at home with no equ...,51,298.887,0.0790
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,36,299.236,0.1023
llama3:8b,What are some fun icebreaker questions for team meetings?,30,299.575,0.1155
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,590,279.155,0.0330
llama3:8b,Can you explain inflation in simple terms?,76,298.035,0.0628
llama3:8b,What are some tips to stay focused while studying?,61,298.568,0.0714
llama3:8b,How can I start a simple workout routine at home with no equ...,58,298.573,0.0752
llama3:8b,What are some tips to stay focused while studying?,73,298.219,0.0648
llama3:8b,How can I start a simple workout routine at home with no equ...,34,299.413,0.1042
llama3:8b,How do I write a professional follow-up email after a job in...,33,299.468,0.1061
llama3:8b,How do I negotiate my salary during a job offer?,29,299.605,0.1162
llama3:8b,How can I start a simple workout routine at home with no equ...,29,299.606,0.1165
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,483,283.545,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,62,298.466,0.0707
llama3:8b,What's the difference between anxiety and stress?,94,297.320,0.0575
llama3:8b,What are some tips to stay focused while studying?,29,299.652,0.1143
llama3:8b,How can I start a simple workout routine at home with no equ...,33,299.494,0.1054
llama3:8b,Can you explain inflation in simple terms?,36,299.462,0.0983
llama3:8b,What are some fun icebreaker questions for team meetings?,65,298.502,0.0694
llama3:8b,How do I negotiate my salary during a job offer?,31,299.653,0.1083
llama3:8b,How do I write a professional follow-up email after a job in...,46,298.860,0.0832
llama3:8b,How do I write a professional follow-up email after a job in...,58,298.653,0.0722
llama3:8b,How do I write a professional follow-up email after a job in...,93,297.505,0.0577
llama3:8b,How do I write a professional follow-up email after a job in...,71,298.525,0.0661
llama3:8b,What are some fun icebreaker questions for team meetings?,70,298.657,0.0653
llama3:8b,What are some fun icebreaker questions for team meetings?,37,299.696,0.0954
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,41,298.945,0.0923
llama3:8b,What are some fun icebreaker questions for team meetings?,54,298.610,0.0767
llama3:8b,Can you explain inflation in simple terms?,63,298.291,0.0696
llama3:8b,How can I start a simple workout routine at home with no equ...,58,298.698,0.0724
llama3:8b,How can I start a simple workout routine at home with no equ...,40,299.225,0.0919
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,59,298.588,0.0731
llama3:8b,What's the difference between anxiety and stress?,59,298.700,0.0714
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,31,299.452,0.1116
llama3:8b,How do I negotiate my salary during a job offer?,17,299.892,0.1777
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,21,299.839,0.1493
llama3:8b,Can you summarize the key points of the book Atomic Habits?,43,298.841,0.0888
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,30,299.374,0.1129
llama3:8b,What's the difference between anxiety and stress?,31,299.479,0.1115
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,48,298.955,0.0830
llama3:8b,What are some fun icebreaker questions for team meetings?,26,299.644,0.1267
llama3:8b,What's the difference between anxiety and stress?,63,298.558,0.0696
llama3:8b,Can you explain inflation in simple terms?,33,299.466,0.1052
llama3:8b,How can I start a simple workout routine at home with no equ...,58,298.485,0.0744
llama3:8b,How can I start a simple workout routine at home with no equ...,62,298.467,0.0707
llama3:8b,What are some tips to stay focused while studying?,383,287.766,0.0392
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,60,298.646,0.0724
llama3:8b,How do I negotiate my salary during a job offer?,61,298.605,0.0719
llama3:8b,How do I write a professional follow-up email after a job in...,262,292.008,0.0419
llama3:8b,How do I write a professional follow-up email after a job in...,32,299.500,0.1091
llama3:8b,How can I start a simple workout routine at home with no equ...,84,297.749,0.0624
llama3:8b,How do I negotiate my salary during a job offer?,31,299.524,0.1118
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,65,298.466,0.0696
