Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,324,1.261,0.0314
llama3:8b,What are some fun icebreaker questions for team meetings?,407,1.259,0.0331
llama3:8b,How do I write a professional follow-up email after a job in...,434,1.032,0.0332
llama3:8b,What's the difference between anxiety and stress?,436,1.010,0.0333
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,387,1.279,0.0387
llama3:8b,How do I write a professional follow-up email after a job in...,504,0.942,0.0313
llama3:8b,What's the difference between anxiety and stress?,473,1.250,0.0328
llama3:8b,What's the difference between anxiety and stress?,479,1.248,0.0332
llama3:8b,What are some tips to stay focused while studying?,495,1.259,0.0333
llama3:8b,How can I start a simple workout routine at home with no equ...,531,0.871,0.0319
llama3:8b,How do I write a professional follow-up email after a job in...,556,0.792,0.0319
llama3:8b,How can I start a simple workout routine at home with no equ...,567,1.032,0.0319
llama3:8b,How do I negotiate my salary during a job offer?,537,1.312,0.0333
llama3:8b,How can I start a simple workout routine at home with no equ...,587,1.193,0.0310
llama3:8b,What are some fun icebreaker questions for team meetings?,573,1.188,0.0318
llama3:8b,How can I start a simple workout routine at home with no equ...,605,1.069,0.0319
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,682,1.070,0.0314
llama3:8b,How do I write a professional follow-up email after a job in...,683,1.080,0.0314
llama3:8b,How can I start a simple workout routine at home with no equ...,746,1.267,0.0318
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,761,1.260,0.0320
llama3:8b,Can you summarize the key points of the book Atomic Habits?,482,11.468,0.0320
llama3:8b,What's the difference between anxiety and stress?,399,14.130,0.0328
llama3:8b,Can you explain inflation in simple terms?,401,17.794,0.0327
llama3:8b,What's the difference between anxiety and stress?,473,15.493,0.0330
llama3:8b,What are some tips to stay focused while studying?,521,14.723,0.0329
llama3:8b,Can you explain inflation in simple terms?,423,19.579,0.0326
llama3:8b,What are some fun icebreaker questions for team meetings?,467,18.585,0.0329
llama3:8b,Can you summarize the key points of the book Atomic Habits?,529,16.804,0.0330
llama3:8b,How do I negotiate my salary during a job offer?,541,17.135,0.0329
llama3:8b,Can you summarize the key points of the book Atomic Habits?,598,15.513,0.0326
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,392,21.548,0.0336
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,563,17.891,0.0329
llama3:8b,How do I write a professional follow-up email after a job in...,509,19.443,0.0334
llama3:8b,How do I write a professional follow-up email after a job in...,527,19.044,0.0330
llama3:8b,How do I negotiate my salary during a job offer?,602,16.697,0.0331
llama3:8b,How do I write a professional follow-up email after a job in...,515,20.450,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,468,22.552,0.0335
llama3:8b,How do I negotiate my salary during a job offer?,640,19.070,0.0329
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,403,26.971,0.0337
llama3:8b,How do I negotiate my salary during a job offer?,499,25.082,0.0335
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,483,27.299,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,564,25.643,0.0333
llama3:8b,Can you summarize the key points of the book Atomic Habits?,483,33.498,0.0322
llama3:8b,What are some tips to stay focused while studying?,449,34.988,0.0322
llama3:8b,Can you explain inflation in simple terms?,387,35.660,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,575,31.119,0.0323
llama3:8b,How do I write a professional follow-up email after a job in...,472,35.066,0.0327
llama3:8b,Can you summarize the key points of the book Atomic Habits?,547,33.982,0.0321
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,649,31.103,0.0323
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,495,34.823,0.0330
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,639,31.987,0.0323
llama3:8b,What are some fun icebreaker questions for team meetings?,444,37.257,0.0330
llama3:8b,Can you summarize the key points of the book Atomic Habits?,511,37.497,0.0320
llama3:8b,What are some tips to stay focused while studying?,535,36.480,0.0331
llama3:8b,How can I start a simple workout routine at home with no equ...,553,36.466,0.0320
llama3:8b,What are some tips to stay focused while studying?,501,39.226,0.0326
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,689,33.253,0.0327
llama3:8b,How do I negotiate my salary during a job offer?,627,35.527,0.0329
llama3:8b,What are some tips to stay focused while studying?,542,40.911,0.0325
llama3:8b,What are some tips to stay focused while studying?,520,42.162,0.0328
llama3:8b,What are some tips to stay focused while studying?,540,43.501,0.0325
llama3:8b,Can you explain inflation in simple terms?,332,51.620,0.0319
llama3:8b,Can you explain inflation in simple terms?,475,49.110,0.0319
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,392,51.073,0.0329
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,816,40.532,0.0326
llama3:8b,Can you explain inflation in simple terms?,422,52.929,0.0318
llama3:8b,Can you explain inflation in simple terms?,472,52.013,0.0321
llama3:8b,What are some fun icebreaker questions for team meetings?,450,53.176,0.0326
llama3:8b,How can I start a simple workout routine at home with no equ...,588,49.560,0.0329
llama3:8b,Can you summarize the key points of the book Atomic Habits?,551,52.250,0.0321
llama3:8b,What are some fun icebreaker questions for team meetings?,535,51.681,0.0329
llama3:8b,How can I start a simple workout routine at home with no equ...,709,49.738,0.0329
llama3:8b,How can I start a simple workout routine at home with no equ...,730,48.466,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,510,55.856,0.0332
llama3:8b,How can I start a simple workout routine at home with no equ...,541,56.205,0.0322
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,783,49.471,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,546,55.651,0.0333
llama3:8b,What are some fun icebreaker questions for team meetings?,449,60.293,0.0331
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,308,64.067,0.0331
llama3:8b,Can you summarize the key points of the book Atomic Habits?,478,59.637,0.0332
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,676,53.204,0.0318
llama3:8b,What are some tips to stay focused while studying?,498,62.101,0.0337
llama3:8b,What are some tips to stay focused while studying?,458,63.352,0.0327
llama3:8b,Can you explain inflation in simple terms?,275,68.426,0.0335
llama3:8b,How can I start a simple workout routine at home with no equ...,584,62.285,0.0321
llama3:8b,How do I write a professional follow-up email after a job in...,436,68.336,0.0328
llama3:8b,What's the difference between anxiety and stress?,441,67.867,0.0332
llama3:8b,How can I start a simple workout routine at home with no equ...,558,66.368,0.0327
llama3:8b,Can you explain inflation in simple terms?,389,72.878,0.0323
llama3:8b,What are some fun icebreaker questions for team meetings?,430,72.832,0.0323
llama3:8b,How can I start a simple workout routine at home with no equ...,641,67.279,0.0327
llama3:8b,How do I write a professional follow-up email after a job in...,423,72.898,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,599,68.030,0.0325
llama3:8b,Can you explain inflation in simple terms?,451,74.354,0.0332
llama3:8b,How do I negotiate my salary during a job offer?,538,71.142,0.0333
llama3:8b,How do I write a professional follow-up email after a job in...,495,75.270,0.0323
llama3:8b,What are some tips to stay focused while studying?,560,71.579,0.0331
llama3:8b,How do I write a professional follow-up email after a job in...,539,72.630,0.0332
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,682,70.053,0.0331
llama3:8b,How can I start a simple workout routine at home with no equ...,449,77.809,0.0319
llama3:8b,Can you explain inflation in simple terms?,445,77.622,0.0330
llama3:8b,How do I write a professional follow-up email after a job in...,585,75.671,0.0323
llama3:8b,What are some tips to stay focused while studying?,596,74.813,0.0328
